# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from https://inferencex.semianalysis.com/.
# Official API snapshot retrieved 2026-09-17; latest benchmark 2026-09-17; 82 rows.
Model,Hardware,Framework,Precision,Disaggregated,Prefill GPUs,Decode GPUs,Prefill TP,Decode TP,Prefill EP,Decode EP,Prefill DPA,Decode DPA,Concurrency,Date,P90 Interactivity (tok/s/user),Token Throughput per Chip (tok/s/chip),Run URL
GLM-5.2,mi325x,sglang,fp8,false,8,0,8,0,1,0,false,false,8,2026-08-08,1.813532580112802,360.8055,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,mi355x,atom,fp4,false,4,0,4,0,1,0,false,false,2,2026-08-19,128.2051282051282,3793.59818,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,4,0,4,0,1,0,false,false,4,2026-08-19,104.9317943336831,5745.69681,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,4,0,4,0,1,0,false,false,8,2026-08-19,69.93006993006993,10015.67539,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,4,0,4,0,1,0,false,false,10,2026-08-19,64.85084306095979,11956.45511,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,8,0,8,0,1,0,false,false,1,2026-08-19,157.97788309636653,1692.82445,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,8,0,8,0,1,0,false,false,2,2026-08-19,138.31258644536652,1938.14402,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,atom,fp4,false,8,0,8,0,1,0,false,false,4,2026-08-19,123.30456226880396,2965.37562,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31765309673/attempts/2
GLM-5.2,mi355x,sglang,fp4,false,4,0,4,0,4,0,false,false,4,2026-09-15,121.50668286755773,5939.09679,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
GLM-5.2,mi355x,sglang,fp4,false,4,0,4,0,4,0,false,false,8,2026-09-15,84.53085376162299,10389.24982,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34783501425/attempts/1
