gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,16287,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,214.1432,native,0.0,558.26,1202.51
gfx942,304,16353,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,222.0121,native,0.0,540.65,1164.45
gfx942,304,16382,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,223.9383,native,0.0,536.95,1156.42
gfx942,304,16384,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,222.0955,native,0.0,541.47,1166.16
gfx942,304,210,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,18.7532,native,0.0,164.39,966.27
gfx942,304,256,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,18.8578,native,0.0,199.29,1000.88
gfx942,304,1024,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,42.2504,native,0.0,355.79,744.54
gfx942,304,15360,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,357.9028,native,0.0,630.02,744.16
gfx942,304,15605,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,357.5146,native,0.0,640.76,756.2
gfx942,304,16022,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,383.088,native,0.0,613.97,723.55
gfx942,304,16069,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,356.0975,native,0.0,662.44,780.56
gfx942,304,16077,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,354.0846,native,0.0,666.54,785.36
gfx942,304,16092,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,370.1381,native,0.0,638.23,751.97
gfx942,304,16254,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,363.5134,native,0.0,656.4,772.97
gfx942,304,16274,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,366.4199,native,0.0,651.99,767.73
gfx942,304,16287,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,368.6468,native,0.0,648.57,763.67
gfx942,304,16353,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,370.4349,native,0.0,648.06,762.91
gfx942,304,16382,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,376.0336,native,0.0,639.54,752.81
gfx942,304,16384,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,373.7182,native,0.0,643.58,757.56
gfx942,304,210,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,25.8403,native,0.0,238.61,1286.01
gfx942,304,256,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,27.5456,native,0.0,272.86,1237.17
gfx942,304,1024,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,76.3968,native,0.0,393.53,631.37
gfx942,304,15360,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,668.7996,native,0.0,674.3,467.22
gfx942,304,15605,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,700.7762,native,0.0,653.8,452.34
gfx942,304,16022,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,702.1265,native,0.0,669.98,462.42
gfx942,304,16069,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,708.3387,native,0.0,666.05,459.59
gfx942,304,16077,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,715.5133,native,0.0,659.7,455.19
gfx942,304,16092,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,711.2904,native,0.0,664.23,458.28
gfx942,304,16254,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,747.6405,native,0.0,638.3,439.99
gfx942,304,16274,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,757.9012,native,0.0,630.43,434.52
gfx942,304,16287,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,753.676,native,0.0,634.47,437.27
gfx942,304,16353,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,758.6743,native,0.0,632.85,436.0
gfx942,304,16382,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,765.9658,native,0.0,627.94,432.54
gfx942,304,16384,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,752.4492,native,0.0,639.29,440.36
