[2026-08-24 19:47:29 TP0] Decode batch, #running-req: 1, #token: 76224, token usage: 0.03, accept len: 4.97, accept rate: 0.80, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 55.13, #queue-req: 0
[2026-08-24 19:47:32 TP0] Decode batch, #running-req: 1, #token: 79744, token usage: 0.03, accept len: 5.67, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 67.98, #queue-req: 0
[2026-08-24 19:47:36 TP0] Decode batch, #running-req: 1, #token: 83648, token usage: 0.04, accept len: 5.83, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 61.17, #queue-req: 0
[2026-08-24 19:47:40 TP0] Decode batch, #running-req: 1, #token: 91584, token usage: 0.04, accept len: 5.83, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 61.26, #queue-req: 0
[2026-08-24 19:47:43 TP0] Decode batch, #running-req: 1, #token: 94336, token usage: 0.04, accept len: 5.83, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.79, #queue-req: 0
[2026-08-24 19:47:50 TP0] Decode batch, #running-req: 1, #token: 49728, token usage: 0.02, accept len: 4.58, accept rate: 0.71, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 26.07, #queue-req: 0
[2026-08-24 19:47:52 TP0] Decode batch, #running-req: 1, #token: 49856, token usage: 0.02, accept len: 3.12, accept rate: 0.42, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.53, #queue-req: 0
[2026-08-24 19:47:54 TP0] Decode batch, #running-req: 1, #token: 50816, token usage: 0.02, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 64.00, #queue-req: 0
[2026-08-24 19:47:55 TP0] Decode batch, #running-req: 1, #token: 50944, token usage: 0.02, accept len: 3.40, accept rate: 0.48, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 94.37, #queue-req: 0
[2026-08-24 19:47:57 TP0] Decode batch, #running-req: 1, #token: 52544, token usage: 0.02, accept len: 5.45, accept rate: 0.89, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.96, #queue-req: 0
[2026-08-24 19:48:00 TP0] Decode batch, #running-req: 1, #token: 53632, token usage: 0.02, accept len: 3.67, accept rate: 0.54, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 53.28, #queue-req: 0
[2026-08-24 19:48:04 TP0] Decode batch, #running-req: 1, #token: 59520, token usage: 0.03, accept len: 3.58, accept rate: 0.52, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 39.34, #queue-req: 0
[2026-08-24 19:48:05 TP0] Decode batch, #running-req: 1, #token: 59648, token usage: 0.03, accept len: 3.38, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 95.73, #queue-req: 0
[2026-08-24 19:48:09 TP0] Decode batch, #running-req: 1, #token: 66624, token usage: 0.03, accept len: 4.97, accept rate: 0.80, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 51.62, #queue-req: 0
[2026-08-24 19:48:12 TP0] Decode batch, #running-req: 1, #token: 66816, token usage: 0.03, accept len: 4.60, accept rate: 0.72, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 54.75, #queue-req: 0
[2026-08-24 19:48:16 TP0] Decode batch, #running-req: 1, #token: 67200, token usage: 0.03, accept len: 4.28, accept rate: 0.66, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 52.38, #queue-req: 0
[2026-08-24 19:48:17 TP0] Decode batch, #running-req: 1, #token: 67328, token usage: 0.03, accept len: 3.83, accept rate: 0.56, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.96, #queue-req: 0
[2026-08-24 19:48:19 TP0] Decode batch, #running-req: 1, #token: 67648, token usage: 0.03, accept len: 4.03, accept rate: 0.60, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 72.32, #queue-req: 0
[2026-08-24 19:48:32 TP0] Decode batch, #running-req: 1, #token: 67840, token usage: 0.03, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 11.29, #queue-req: 0
[2026-08-24 19:48:34 TP0] Decode batch, #running-req: 1, #token: 68032, token usage: 0.03, accept len: 3.58, accept rate: 0.52, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 100.16, #queue-req: 0
[2026-08-24 19:48:36 TP0] Decode batch, #running-req: 1, #token: 69312, token usage: 0.03, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 66.05, #queue-req: 0
[2026-08-24 19:48:39 TP0] Decode batch, #running-req: 1, #token: 71872, token usage: 0.03, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 47.35, #queue-req: 0
[2026-08-24 19:48:40 TP0] Decode batch, #running-req: 1, #token: 72000, token usage: 0.03, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.26, #queue-req: 0
[2026-08-24 19:48:44 TP0] Decode batch, #running-req: 1, #token: 77056, token usage: 0.03, accept len: 3.98, accept rate: 0.59, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 42.79, #queue-req: 0
