[2026-08-24 23:24:09 TP0] Decode batch, #running-req: 2, #token: 133824, token usage: 0.06, accept len: 5.69, accept rate: 0.59, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 139.01, #queue-req: 0
[2026-08-24 23:24:11 TP0] Decode batch, #running-req: 2, #token: 134592, token usage: 0.06, accept len: 5.82, accept rate: 0.60, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 148.87, #queue-req: 0
[2026-08-24 23:24:13 TP0] Decode batch, #running-req: 2, #token: 135040, token usage: 0.06, accept len: 4.14, accept rate: 0.39, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 143.88, #queue-req: 0
[2026-08-24 23:24:14 TP0] Decode batch, #running-req: 1, #token: 135424, token usage: 0.06, accept len: 5.22, accept rate: 0.53, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 159.02, #queue-req: 0
[2026-08-24 23:24:16 TP0] Decode batch, #running-req: 2, #token: 135744, token usage: 0.06, accept len: 4.52, accept rate: 0.44, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 174.64, #queue-req: 0
[2026-08-24 23:24:18 TP0] Decode batch, #running-req: 2, #token: 137280, token usage: 0.06, accept len: 5.63, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 140.90, #queue-req: 0
[2026-08-24 23:24:20 TP0] Decode batch, #running-req: 1, #token: 141120, token usage: 0.06, accept len: 4.91, accept rate: 0.49, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 143.56, #queue-req: 0
[2026-08-24 23:24:22 TP0] Decode batch, #running-req: 2, #token: 141376, token usage: 0.06, accept len: 3.65, accept rate: 0.33, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 151.93, #queue-req: 0
[2026-08-24 23:24:25 TP0] Decode batch, #running-req: 2, #token: 148992, token usage: 0.06, accept len: 4.26, accept rate: 0.41, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.78, #queue-req: 0
[2026-08-24 23:24:27 TP0] Decode batch, #running-req: 1, #token: 150592, token usage: 0.06, accept len: 3.37, accept rate: 0.30, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 130.17, #queue-req: 0
[2026-08-24 23:24:29 TP0] Decode batch, #running-req: 1, #token: 155648, token usage: 0.07, accept len: 4.65, accept rate: 0.46, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 118.07, #queue-req: 0
[2026-08-24 23:24:30 TP0] Decode batch, #running-req: 1, #token: 131968, token usage: 0.06, accept len: 3.87, accept rate: 0.36, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 124.90, #queue-req: 0
[2026-08-24 23:24:38 TP0] Decode batch, #running-req: 2, #token: 133568, token usage: 0.06, accept len: 3.79, accept rate: 0.35, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 24.58, #queue-req: 0
[2026-08-24 23:24:39 TP0] Decode batch, #running-req: 2, #token: 133824, token usage: 0.06, accept len: 3.41, accept rate: 0.30, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 150.56, #queue-req: 0
[2026-08-24 23:24:42 TP0] Decode batch, #running-req: 2, #token: 111104, token usage: 0.05, accept len: 3.70, accept rate: 0.34, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 98.84, #queue-req: 0
[2026-08-24 23:24:44 TP0] Decode batch, #running-req: 1, #token: 113088, token usage: 0.05, accept len: 3.19, accept rate: 0.27, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 132.23, #queue-req: 0
[2026-08-24 23:24:46 TP0] Decode batch, #running-req: 1, #token: 56064, token usage: 0.02, accept len: 5.77, accept rate: 0.60, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 179.11, #queue-req: 0
[2026-08-24 23:24:47 TP0] Decode batch, #running-req: 2, #token: 62208, token usage: 0.03, accept len: 5.09, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 166.93, #queue-req: 0
[2026-08-24 23:24:49 TP0] Decode batch, #running-req: 1, #token: 130176, token usage: 0.06, accept len: 7.98, accept rate: 0.87, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 178.54, #queue-req: 0
