[2026-08-24 22:09:30 TP0] Decode batch, #running-req: 3, #token: 1154240, token usage: 0.49, accept len: 4.67, accept rate: 0.73, pre-allocated usage: 0.40, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 334.65, #queue-req: 0
[2026-08-24 22:09:32 TP0] Decode batch, #running-req: 3, #token: 1055360, token usage: 0.45, accept len: 5.60, accept rate: 0.92, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 345.13, #queue-req: 0
[2026-08-24 22:09:33 TP0] Decode batch, #running-req: 2, #token: 972288, token usage: 0.41, accept len: 4.59, accept rate: 0.72, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 386.77, #queue-req: 0
[2026-08-24 22:09:35 TP0] Decode batch, #running-req: 3, #token: 887232, token usage: 0.38, accept len: 4.09, accept rate: 0.62, pre-allocated usage: 0.31, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 331.36, #queue-req: 0
[2026-08-24 22:09:37 TP0] Decode batch, #running-req: 3, #token: 1128960, token usage: 0.48, accept len: 2.68, accept rate: 0.34, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 137.79, #queue-req: 0
[2026-08-24 22:09:38 TP0] Decode batch, #running-req: 3, #token: 957888, token usage: 0.41, accept len: 4.04, accept rate: 0.61, pre-allocated usage: 0.34, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 262.89, #queue-req: 0
[2026-08-24 22:09:40 TP0] Decode batch, #running-req: 2, #token: 1054336, token usage: 0.45, accept len: 5.39, accept rate: 0.88, pre-allocated usage: 0.39, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 381.15, #queue-req: 0
[2026-08-24 22:09:41 TP0] Decode batch, #running-req: 1, #token: 1145216, token usage: 0.48, accept len: 3.49, accept rate: 0.50, pre-allocated usage: 0.47, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 110.09, #queue-req: 0
[2026-08-24 22:09:49 TP0] Decode batch, #running-req: 2, #token: 1146176, token usage: 0.49, accept len: 4.08, accept rate: 0.62, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 35.78, #queue-req: 0
[2026-08-24 22:10:02 TP0] Decode batch, #running-req: 1, #token: 1148352, token usage: 0.49, accept len: 3.95, accept rate: 0.59, pre-allocated usage: 0.45, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 18.75, #queue-req: 0
[2026-08-24 22:10:03 TP0] Decode batch, #running-req: 1, #token: 1148480, token usage: 0.49, accept len: 3.52, accept rate: 0.51, pre-allocated usage: 0.45, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.66, #queue-req: 0
[2026-08-24 22:10:09 TP0] Decode batch, #running-req: 2, #token: 1149824, token usage: 0.49, accept len: 3.69, accept rate: 0.54, pre-allocated usage: 0.44, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 37.53, #queue-req: 0
[2026-08-24 22:10:10 TP0] Decode batch, #running-req: 1, #token: 1125952, token usage: 0.48, accept len: 3.54, accept rate: 0.51, pre-allocated usage: 0.46, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 171.51, #queue-req: 0
[2026-08-24 22:10:15 TP0] Decode batch, #running-req: 1, #token: 1127360, token usage: 0.48, accept len: 3.23, accept rate: 0.45, pre-allocated usage: 0.46, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 27.94, #queue-req: 0
[2026-08-24 22:10:16 TP0] Decode batch, #running-req: 1, #token: 1127488, token usage: 0.48, accept len: 3.38, accept rate: 0.47, pre-allocated usage: 0.46, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.57, #queue-req: 0
[2026-08-24 22:10:21 TP0] Decode batch, #running-req: 2, #token: 1131392, token usage: 0.48, accept len: 5.40, accept rate: 0.88, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 56.50, #queue-req: 0
[2026-08-24 22:10:23 TP0] Decode batch, #running-req: 2, #token: 1143872, token usage: 0.48, accept len: 5.41, accept rate: 0.88, pre-allocated usage: 0.42, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 262.86, #queue-req: 0
[2026-08-24 22:10:24 TP0] Decode batch, #running-req: 3, #token: 1133888, token usage: 0.48, accept len: 3.92, accept rate: 0.58, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 187.91, #queue-req: 0
[2026-08-24 22:10:26 TP0] Decode batch, #running-req: 2, #token: 1141696, token usage: 0.48, accept len: 4.72, accept rate: 0.74, pre-allocated usage: 0.42, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 360.54, #queue-req: 0
[2026-08-24 22:10:28 TP0] Decode batch, #running-req: 3, #token: 1081728, token usage: 0.46, accept len: 4.93, accept rate: 0.79, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 300.83, #queue-req: 0
[2026-08-24 22:10:29 TP0] Decode batch, #running-req: 3, #token: 1090048, token usage: 0.46, accept len: 3.82, accept rate: 0.56, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 349.49, #queue-req: 0
